word,colour,stim_condition,correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instruction.started,ins.started,key.started,instruction.stopped,key.keys,key.rt,key.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank.started,thankyou.started,thankyou.stopped,thank.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,False,0.011573333002161235,0.019590041003539227,0.019590041003539227,49.696493832998385,space,49.66076229200553,None,,,,,,,,,,,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
BLUE,red,I,r,0,0,0,r,1,0.9783932919963263,None,0,0,0,2,49.71894316600083,,,,,,,,,,49.70101258299837,49.71894316600083,50.193929374996515,50.193929374996515,50.193929374996515,51.17809704100364,r,1,0.9783932919963263,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
RED,red,C,r,1,1,0,r,1,1.1671881250003935,None,0,1,1,0,51.185171958000865,,,,,,,,,,51.17941287499707,51.185171958000865,51.669082583001,51.669082583001,51.669082583001,52.84405675000016,r,1,1.1671881250003935,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
BLUE,blue,C,b,2,2,0,b,1,0.4634508749950328,None,0,2,2,3,52.85204791599972,,,,,,,,,,52.844753083001706,52.85204791599972,53.33575979099987,53.33575979099987,53.33575979099987,53.802466415996605,b,1,0.4634508749950328,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
RED,blue,I,b,3,3,0,b,1,0.6250319579994539,None,0,3,3,1,53.81066341599944,,,,,,,,,,53.80316329099878,53.81066341599944,54.29331316600292,54.29331316600292,54.29331316600292,54.919085291003285,b,1,0.6250319579994539,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
RED,red,C,r,4,0,1,r,1,1.3862190829968313,None,1,0,4,0,54.92727787500189,,,,,,,,,,54.91922825000074,54.92727787500189,55.409919416000776,55.409919416000776,55.409919416000776,56.80258945799869,r,1,1.3862190829968313,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.7166592080029659,None,1,1,5,3,56.810117291002825,,,,,,,,,,56.80324154099799,56.810117291002825,57.29344766600116,57.29344766600116,57.29344766600116,58.01086979100364,b,1,0.7166592080029659,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
RED,blue,I,b,6,2,1,b,1,0.6822582499953569,None,1,2,6,1,58.018866666003305,,,,,,,,,,58.01146779100236,58.018866666003305,58.501818083001126,58.501818083001126,58.501818083001126,59.18572145800135,b,1,0.6822582499953569,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
BLUE,red,I,r,7,3,1,r,1,0.6207536660003825,None,1,3,7,2,59.193545000001905,,,,,,,,,,59.186357291000604,59.193545000001905,59.677237208001316,59.677237208001316,59.677237208001316,60.302008582999406,r,1,0.6207536660003825,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
BLUE,red,I,r,8,0,2,r,1,0.7611014169960981,None,2,0,8,2,60.31019929100148,,,,,,,,,,60.30214841599809,60.31019929100148,60.79383812499873,60.79383812499873,60.79383812499873,61.56077487499715,r,1,0.7611014169960981,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
RED,red,C,r,9,1,2,r,1,0.5469689590026974,None,2,1,9,0,61.56853124999907,,,,,,,,,,61.56139783300023,61.56853124999907,62.0519337500009,62.0519337500009,62.0519337500009,62.60225004100357,r,1,0.5469689590026974,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
BLUE,blue,C,b,10,2,2,b,1,0.5480930000048829,None,2,2,10,3,62.6100166660035,,,,,,,,,,62.602972291002516,62.6100166660035,63.09377612500248,63.09377612500248,63.09377612500248,63.64378725000279,b,1,0.5480930000048829,None,,,,,H,002,2026-09-06_18h06.33.897,Stroop2,,2026.1.3,121.5122815890486,2026-09-06 18h06.33.937573 +0530,
