thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instruction.started,text.started,ins_resp.started,Instruction.stopped,ins_resp.keys,ins_resp.rt,ins_resp.duration,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,Thanks.started,Thank.started,Thank.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,False,0.010614917002385482,0.018846958002541214,0.018846958002541214,11.842892166998354,space,11.812430375000986,None,,,,,,,,,,,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
0,0,0,up,1,0.5514983749962994,None,0,0,0,0,0,11.8518202080013,,,,,,,,,,11.843205375000252,11.8518202080013,12.83476525000151,12.843682917002297,13.403189083001052,up,1,0.5514983749962994,None,0,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
1,0,1,up,1,0.574385916996107,None,0,1,0,1,0,13.409953542002768,,,,,,,,,,13.403276582997933,13.409953542002768,14.4019343330001,14.4019343330001,14.977013124997029,up,1,0.574385916996107,None,0,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
2,0,2,down,1,0.4046834580003633,None,-4,2,0,2,0,14.985194417000457,,,,,,,,,,14.977095166999788,14.985194417000457,15.968472833003034,15.976890457997797,16.377062583000225,down,1,0.4046834580003633,None,-4,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
3,0,3,up,0,0.595914041994547,None,1,3,0,3,0,16.38514458300051,,,,,,,,,,16.377142500001355,16.38514458300051,17.368185583000013,17.376498416997492,17.96865145800257,up,0,0.595914041994547,None,1,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
4,0,4,up,0,0.5266210420013522,None,1,4,0,4,0,17.97686654199788,,,,,,,,,,17.968730874999892,17.97686654199788,18.959420375002082,18.96850829199684,19.493742708000354,up,0,0.5266210420013522,None,1,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
5,0,5,down,1,0.5938003750052303,None,-4,5,0,5,0,19.501741749998473,,,,,,,,,,19.493815624999115,19.501741749998473,20.485168457998952,20.493366000002425,21.08474825000303,down,1,0.5938003750052303,None,-4,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
6,0,6,up,1,0.5551856250021956,None,0,6,0,6,0,21.092855041999428,,,,,,,,,,21.08481304199813,21.092855041999428,22.07671804200072,22.085123666998697,22.63521587500145,up,1,0.5551856250021956,None,0,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
7,0,7,up,1,0.5476937919956981,None,0,7,0,7,0,22.64273216699803,,,,,,,,,,22.635279750000336,22.64273216699803,23.62616979199811,23.634428666999156,24.17676941699756,up,1,0.5476937919956981,None,0,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
8,0,8,up,1,0.4407463329989696,None,0,8,0,8,0,24.184857125001145,,,,,,,,,,24.176830999997037,24.184857125001145,25.16827758299769,25.176661332996446,25.61022291699919,up,1,0.4407463329989696,None,0,,,,,I-ODT,001,2026-09-08_15h14.47.920,OrientationDiscrimination,,2026.1.3,121.07789498818545,2026-09-08 15h14.47.954900 +0530,
