stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,piloting,Instruction.started,ins.started,ins_res.started,Instruction.stopped,ins_res.keys,ins_res.rt,ins_res.duration,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thanks.started,text.started,text.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,False,0.015910125002847053,0.03218808300152887,0.03218808300152887,14.379906542002573,space,14.305007625000144,None,,,,,,,,,,,,,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
0,2,10,14.39696854200156,,,,,,,,,,14.380071375002444,14.39696854200156,14.880306541999744,14.880306541999744,14.897815500000434,15.181323625001824,15.420054082998831,left,-10,1,1,0.49298541699681664,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
1,2,8,15.430339708000247,,,,,,,,,,15.42023099999642,15.430339708000247,15.931156999999075,15.931156999999075,15.931156999999075,16.231658666998555,16.31562516700069,right,8,1,1,0.37913529100478627,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
2,2,6,16.331333207999705,,,,,,,,,,16.315949957999692,16.331333207999705,16.831041249999544,16.831041249999544,16.831041249999544,17.13131374999648,17.29131137499644,right,6,1,1,0.4369931249966612,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
3,2,4,17.296937291997892,,,,,,,,,,17.291520124999806,17.296937291997892,17.79782441700081,17.79782441700081,17.79782441700081,18.097941250001895,18.235103749997506,left,-4,1,1,0.4182154580048518,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
4,2,2,18.247048833000008,,,,,,,,,,18.23538841700065,18.247048833000008,18.74804070800019,18.74804070800019,18.74804070800019,19.04778058300144,19.168528875001357,right,2,1,1,0.4020479160026298,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
5,1,1,19.1804082919989,,,,,,,,,,19.168801542000438,19.1804082919989,19.681248458000482,19.681248458000482,19.681248458000482,19.981437166999967,20.19943174999935,left,-1,0,0,0.5127906249981606,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
6,1,2,20.213621082999452,,,,,,,,,,20.199773082997126,20.213621082999452,20.714618250000058,20.714618250000058,20.714618250000058,21.01455700000224,21.151958249996824,right,2,1,1,0.42438612400292186,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
7,1,2,21.163810917001683,,,,,,,,,,21.152248917001998,21.163810917001683,21.66446183300286,21.66446183300286,21.66446183300286,21.96455920799781,22.116287167002156,left,-2,1,1,0.44347191599808866,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
8,1,2,22.130236375000095,,,,,,,,,,22.11667295799998,22.130236375000095,22.631056457998056,22.631056457998056,22.631056457998056,22.931216291995952,23.084905249997973,left,-2,1,1,0.437887915999454,,,,,w,001,2026-09-08_16h25.33.159,AdaptiveStaircase,,2026.1.3,60.139810143051186,2026-09-08 16h25.33.226451 +0530,
